model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
bayes(rho=0),12,stayer,5137,314.836669921875,2040.1982177734424,0.3488417364220362,-7.78286879950575,12.756173202979816,184150.640625,0.6848355071053144,0.6719967211625382,0.6973980487521778,826511.5,0.9281681915514892,0.9207825139113044,0.9349139541533797,2323968.0,0.9885146972941405,0.985214117582197,0.9910851716236794
bayes(rho=0),12,mover,863,1438.8870849609375,3511.4682617187505,0.04055619930475087,-10.828667311717219,12.806201844392621,194820.046875,0.1993047508690614,0.17401028833679325,0.22726440821676394,842581.25,0.4241019698725377,0.39153674254259835,0.45733991496899323,2364880.25,0.6964078794901506,0.6649150845671152,0.7261598246204455
bayes(rho=0),12,mover_0_500km,113,357.6818542480469,1211.1268310546875,0.19469026548672566,-8.773680008886325,12.639420858159099,162695.625,0.4336283185840708,,,728489.8125,0.6902654867256637,,,2269551.5,0.9380530973451328,,
bayes(rho=0),12,mover_500_1500km,319,1022.4684448242188,1819.7633300781247,0.01567398119122257,-10.91348134227863,12.851704990142036,206450.125,0.19435736677115986,,,849842.375,0.4012539184952978,,,2339688.0,0.6739811912225705,,
bayes(rho=0),12,mover_1500km_plus,431,2396.440185546875,3810.085693359375,0.018561484918793503,-11.304671695640197,12.781913864074216,185499.296875,0.14153132250580047,,,864241.375,0.37122969837587005,,,2453343.0,0.6496519721577726,,
bayes(rho=0)@cluster,12,all,6000,409.9744873046875,2517.312329101563,0.3105,-8.266016174465808,12.79238491775768,189345.7734375,0.607,,,846935.0625,0.8541666666666666,,,2373885.25,0.946,,
bayes(rho=0)@cluster,12,stayer,5137,309.5781555175781,2052.2337890625004,0.356044383881643,-7.840428921427559,12.784343020553552,187725.734375,0.6756861981701382,0.662757651239968,0.6883521748243091,844236.0625,0.9250535331905781,0.9175311280651258,0.9319406782632388,2366783.25,0.9879306988514698,0.9845589034875301,0.9905732616427864
bayes(rho=0)@cluster,12,mover,863,1438.8870849609375,3466.0395996093753,0.039397450753186555,-10.799320599561382,12.835686097730093,199021.6875,0.1981460023174971,0.1729145838265981,0.2260528861240826,860839.125,0.4322132097334878,0.3995339843915111,0.46549325934021557,2412457.0,0.6964078794901506,0.6649150845671152,0.7261598246204455
bayes(rho=0)@cluster,12,mover_0_500km,113,352.1500549316406,1169.25546875,0.18584070796460178,-8.712634283078659,12.657790662895982,164118.671875,0.4336283185840708,,,745338.0625,0.7168141592920354,,,2290280.0,0.9380530973451328,,
bayes(rho=0)@cluster,12,mover_500_1500km,319,1021.2530517578125,1746.8412353515625,0.01567398119122257,-10.902685353952176,12.875996992958754,210202.34375,0.18808777429467086,,,864595.5625,0.3949843260188088,,,2369028.75,0.6865203761755486,,
