ordering,k,n,median_km,mean_km,p90_km,within_150km,state_acc,logscore,calib_err,cover50,cover80,cover95,d_vs_mi,d_lo,d_hi,win_rate,tie_rate,same_set
mi+rho_q,16,8000,847.9517822265625,1240.2947998046875,3489.277587890625,0.171125,0.214625,-8.872436345393444,0.08729166666666661,0.6445,0.891125,0.97625,527.658203125,493.8284278869629,554.4193801879883,0.17,0.2595,0
mi+rho_q,17,8000,858.2281494140625,1252.9014892578125,3516.513427734375,0.17175,0.21075,-8.866842501873688,0.08883333333333336,0.647,0.89275,0.97675,549.51025390625,518.7613479614258,577.369563293457,0.16925,0.24325,0
mi+rho_q,18,8000,864.1996459960938,1256.85546875,3525.9541015625,0.17,0.210125,-8.85214728926554,0.09083333333333332,0.65025,0.896,0.97625,566.473388671875,535.7518463134766,591.7874267578125,0.166625,0.237,0
mi+rho_q,19,8000,866.1573486328125,1259.3642578125,3539.721435546875,0.171,0.210375,-8.848946072208328,0.09095833333333332,0.651,0.89525,0.976625,592.5618896484375,561.8313461303711,616.711782836914,0.1655,0.22275,0
mi+rho_q,20,8000,870.1492919921875,1251.62353515625,3487.501220703125,0.170625,0.208875,-8.84574595776938,0.09116666666666666,0.651,0.89525,0.97725,608.2003784179688,580.7852355957032,638.1200225830078,0.165375,0.214,0
mi+rho_q,21,8000,890.9060668945312,1269.394287109375,3521.18505859375,0.17375,0.211375,-8.833675473507247,0.092625,0.653625,0.897,0.97725,635.6126708984375,609.9299102783203,668.505110168457,0.1615,0.211125,0
mi+rho_q,22,8000,901.0792236328125,1277.3929443359375,3527.8203125,0.173625,0.211,-8.827362339195608,0.09379166666666668,0.65625,0.898,0.977125,656.2393188476562,627.1089447021484,690.3345504760742,0.16,0.201,0
mi+rho_q,23,8000,870.930908203125,1245.895263671875,3489.277587890625,0.176875,0.21775,-8.826354289617928,0.09404166666666665,0.656,0.8995,0.976625,644.5899658203125,618.0833053588867,672.0223419189452,0.162,0.191625,0
mi+rho_q,24,8000,879.2235107421875,1247.462158203125,3474.557373046875,0.1825,0.22475,-8.81830524511788,0.09420833333333334,0.656125,0.89975,0.97675,670.6986694335938,643.1062637329102,700.6377380371093,0.158625,0.192375,0
mi+rho_q,25,8000,872.911376953125,1243.2237548828125,3473.1123046875,0.183625,0.225375,-8.80763455740393,0.09579166666666668,0.660375,0.9005,0.9765,669.1925659179688,641.1826446533203,697.2190643310547,0.15925,0.188625,0
mi+rho_q,26,8000,853.2356567382812,1227.963623046875,3453.848388671875,0.18525,0.228375,-8.802821615659076,0.09537499999999999,0.659125,0.9005,0.9765,655.7611083984375,624.8333923339844,683.6422790527344,0.16075,0.181375,0
mi+rho_q,27,8000,861.435302734375,1233.428955078125,3471.35791015625,0.186125,0.227875,-8.795295902569823,0.09633333333333334,0.66025,0.902375,0.976375,667.9788818359375,635.4917877197265,692.0122589111328,0.16175,0.178875,0
mi+rho_q,28,8000,865.07763671875,1241.989990234375,3499.110595703125,0.187125,0.22775,-8.789837214239055,0.09625000000000002,0.661,0.901,0.97675,676.2556762695312,643.9429901123046,703.6949401855469,0.158875,0.176875,0
mi+rho_q,29,8000,867.8504638671875,1243.448486328125,3490.17138671875,0.187875,0.2275,-8.78382138818646,0.09683333333333333,0.662375,0.900875,0.97725,685.170654296875,655.4290176391602,712.3633209228516,0.161,0.173125,0
mi+rho_q,30,8000,874.3313598632812,1253.8426513671875,3516.513427734375,0.186125,0.225125,-8.790072864599098,0.09595833333333333,0.66075,0.900375,0.97675,698.9048461914062,671.0241195678711,726.5015213012695,0.158625,0.169,0
mi+rho=0.177,1,8000,1109.880126953125,1415.748779296875,3806.438720703125,0.108,0.10425,-9.434905304301864,0.01824999999999999,0.527125,0.820875,0.95675,0.0,0.0,0.0,0.0,1.0,1
