true_rho,realised_rho,theta,movers,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.3,0.2886919720513986,0.498046875,0,0.0,8,469.064571958532,2367.2875827269327,0.26916666666666667,0.3416666666666667,0.4975,-8.28352472715051,0.0872222222222222,0.625,0.9033333333333333,0.9833333333333333
0.3,0.2886919720513986,0.498046875,0,0.0,12,347.4490582094625,2160.73069132321,0.33,0.4041666666666667,0.5808333333333333,-7.8906354232713545,0.0913888888888889,0.6325,0.905,0.9866666666666667
0.3,0.2886919720513986,0.498046875,0,0.0,16,264.03093565207155,1681.4193263199822,0.385,0.4675,0.6483333333333333,-7.580503809729549,0.08666666666666667,0.6358333333333334,0.8966666666666666,0.9775
0.3,0.2886919720513986,0.498046875,0,0.0,20,206.598721583728,1598.623254568393,0.43166666666666664,0.5191666666666667,0.6883333333333334,-7.35563196163816,0.08694444444444442,0.6425,0.8975,0.9708333333333333
0.3,0.2886919720513986,0.498046875,0,0.05,5,711.3022649799711,3427.812114755811,0.20166666666666666,0.22666666666666666,0.37916666666666665,-8.76875862957353,0.07805555555555559,0.6116666666666667,0.8916666666666667,0.9808333333333333
0.3,0.2886919720513986,0.498046875,0,0.05,8,507.82912879953466,2636.4922155770673,0.2525,0.32083333333333336,0.45666666666666667,-8.481102974559741,0.09888888888888887,0.6516666666666666,0.9108333333333334,0.9841666666666666
0.3,0.2886919720513986,0.498046875,0,0.05,12,430.7447371849714,2370.822881189082,0.2866666666666667,0.3591666666666667,0.5225,-8.225261473919245,0.11722222222222223,0.6783333333333333,0.9341666666666667,0.9891666666666666
0.3,0.2886919720513986,0.498046875,0,0.05,16,355.6940590446644,1951.758235140614,0.31,0.385,0.5675,-8.017683573932656,0.1311111111111111,0.7116666666666667,0.9408333333333333,0.9908333333333333
0.3,0.2886919720513986,0.498046875,0,0.05,20,317.0191557301698,1816.8482892982672,0.3433333333333333,0.42916666666666664,0.6033333333333334,-7.906935729775189,0.1383333333333333,0.7291666666666666,0.9425,0.9933333333333333
0.3,0.2886919720513986,0.498046875,0,0.09,5,746.2356472366941,3430.1105270860626,0.19166666666666668,0.215,0.365,-8.835430951271087,0.07805555555555554,0.6091666666666666,0.895,0.98
0.3,0.2886919720513986,0.498046875,0,0.09,8,573.7579687163968,2752.7557215023403,0.2275,0.29,0.4225,-8.614479426991014,0.09749999999999996,0.6475,0.9116666666666666,0.9833333333333333
0.3,0.2886919720513986,0.498046875,0,0.09,12,494.9305600179647,2547.3442395480497,0.24583333333333332,0.3175,0.4816666666666667,-8.437016967218293,0.11444444444444446,0.6783333333333333,0.9283333333333333,0.9866666666666667
0.3,0.2886919720513986,0.498046875,0,0.09,16,450.49435506092857,2383.0950766061565,0.2708333333333333,0.3383333333333333,0.49333333333333335,-8.294745462974266,0.1322222222222222,0.7141666666666666,0.9425,0.99
0.3,0.2886919720513986,0.498046875,0,0.09,20,449.57773355516514,2304.1273932344484,0.27166666666666667,0.3516666666666667,0.5041666666666667,-8.236009829240377,0.13777777777777778,0.725,0.9458333333333333,0.9925
