model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
bayes(rho=0)@cluster,30,all,6000,179.3822784423828,1898.8881347656265,0.46116666666666667,-7.827433809234637,11.44585895784649,66736.015625,0.5756666666666667,,,311679.234375,0.8048333333333333,,,1043618.53125,0.895,,
bayes(rho=0)@cluster,30,stayer,5104,127.79803848266602,1273.9964721679678,0.5362460815047022,-6.938263424056775,11.453807922416988,67592.140625,0.665948275862069,0.6528879227744061,0.6787590100513886,312287.796875,0.9169278996865203,0.9090389399678708,0.9241897177101589,1048427.28125,0.9880485893416928,0.9846788724721777,0.9906841849883355
bayes(rho=0)@cluster,30,mover,896,1483.6203002929688,3413.2078857421875,0.033482142857142856,-12.892529396229959,11.414475029366324,63763.1328125,0.06138392857142857,0.047461526249528194,0.07905140669333642,310499.015625,0.16629464285714285,0.1433489438376557,0.19208964891022348,1009686.21875,0.36495535714285715,0.33407121874503315,0.3969925595910651
bayes(rho=0)@cluster,30,mover_0_500km,112,318.6803283691406,610.0006408691407,0.20535714285714285,-9.713005994064511,10.635616028499443,38668.392578125,0.22321428571428573,,,188714.71875,0.41964285714285715,,,654522.96875,0.6964285714285714,,
bayes(rho=0)@cluster,30,mover_500_1500km,334,1058.1718139648438,1555.9224853515623,0.008982035928143712,-13.093025753367002,11.457535478139814,65156.44140625,0.04790419161676647,,,320270.234375,0.15568862275449102,,,1019953.46875,0.3413173652694611,,
bayes(rho=0)@cluster,30,mover_1500km_plus,450,2342.7088623046875,3797.478125,0.008888888888888889,-13.535064591249421,11.466376888216196,67613.8984375,0.03111111111111111,,,324000.546875,0.1111111111111111,,,1094732.75,0.3,,
bayes(rho=0)+mix,30,all,6000,184.00625610351562,1910.2505981445343,0.45816666666666667,-7.54122550049505,12.073393979653707,92062.40625,0.638,,,534614.40625,0.868,,,2072213.9375,0.9626666666666667,,
bayes(rho=0)+mix,30,stayer,5104,131.60550689697266,1314.2378662109375,0.5327194357366771,-6.972560036139172,12.077787174045106,92793.84765625,0.7349137931034483,0.7226312621698205,0.7468429674147461,537114.4375,0.9647335423197492,0.9593134532771015,0.9694545805632586,2074009.9375,0.9962774294670846,0.9941928551261519,0.9976155047885329
bayes(rho=0)+mix,30,mover,896,1475.1377563476562,3426.291748046875,0.033482142857142856,-10.780587699236577,12.042264217028924,87599.421875,0.0859375,0.06930739518450953,0.10610303260633723,528881.84375,0.3169642857142857,0.28733381754179926,0.34815758450051576,2051331.25,0.7712053571428571,0.742576995862053,0.7975180608679315
bayes(rho=0)+mix,30,mover_0_500km,112,317.1425018310547,650.2426696777345,0.22321428571428573,-9.218625802664373,11.4536191746039,53000.947265625,0.29464285714285715,,,346559.015625,0.5982142857142857,,,1767668.875,0.8839285714285714,,
bayes(rho=0)+mix,30,mover_500_1500km,334,1059.6329345703125,1516.4852783203123,0.011976047904191617,-10.964023160631308,12.078404450721488,88791.875,0.0688622754491018,,,537771.09375,0.27844311377245506,,,2035335.9375,0.7544910179640718,,
bayes(rho=0)+mix,30,mover_1500km_plus,450,2333.5360107421875,3805.9111816406253,0.0022222222222222222,-11.033192784370454,12.11102615598352,94181.08203125,0.04666666666666667,,,555321.96875,0.27555555555555555,,,2102737.625,0.7555555555555555,,
